Población a 1 de enero. Por sexo y edad en grandes grupos
Municipios. 2000
Fuente: Idescat, a partir del Padrón continuo del INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=1181&by=mun&t=200000&lang=es
Código;Literal;Hombres. De 0 a 14 años;Hombres. De 15 a 64 años;Hombres. 65 años o más;Mujeres. De 0 a 14 años;Mujeres. De 15 a 64 años;Mujeres. 65 años o más;Total. De 0 a 14 años;Total. De 15 a 64 años;Total. 65 años o más
250019;Abella de la Conca;19;64;23;12;61;18;31;125;41
080018;Abrera;673;3217;313;652;2945;377;1325;6162;690
250024;Àger;20;161;103;19;138;87;39;299;190
250030;Agramunt;371;1671;464;323;1481;592;694;3152;1056
080023;Aguilar de Segarra;10;61;35;16;53;38;26;114;73
170010;Agullana;29;209;94;39;178;106;68;387;200
080142;Aiguafreda;134;746;174;133;724;236;267;1470;410
430017;Aiguamúrcia;36;218;85;40;197;76;76;415;161
170025;Aiguaviva;41;181;39;38;170;46;79;351;85
250387;Aitona;126;743;217;127;677;296;253;1420;513
250045;Alamús, els;41;240;69;43;210;95;84;450;164
250058;Alàs i Cerc;23;137;53;22;108;57;45;245;110
250061;Albagés, l';38;161;66;23;143;79;61;304;145
170031;Albanyà;8;45;15;8;37;15;16;82;30
250077;Albatàrrec;74;386;107;74;373;116;148;759;223
250083;Albesa;87;483;168;86;471;199;173;954;367
250096;Albi, l';37;270;100;39;231;105;76;501;205
430022;Albinyana;67;534;117;76;451;135;143;985;252
430038;Albiol, l';11;70;15;12;55;12;23;125;27
170046;Albons;41;200;59;31;165;76;72;365;135
430043;Alcanar;504;2657;756;518;2520;923;1022;5177;1679
250100;Alcanó;8;80;45;16;66;44;24;146;89
250117;Alcarràs;331;1656;406;341;1554;479;672;3210;885
250122;Alcoletge;131;648;140;117;586;148;248;1234;288
430056;Alcover;290;1341;296;259;1235;366;549;2576;662
439044;Aldea, l';268;1180;355;223;1099;421;491;2279;776
430069;Aldover;32;237;108;37;252;126;69;489;234
430075;Aleixar, l';41;253;73;47;205;98;88;458;171
080039;Alella;675;3087;418;614;3044;575;1289;6131;993
430081;Alfara de Carles;18;120;56;8;100;63;26;220;119
250138;Alfarràs;190;941;283;173;965;353;363;1906;636
250143;Alfés;20;110;41;17;96;44;37;206;85
430094;Alforja;77;405;166;69;368;184;146;773;350
250156;Algerri;18;159;77;19;163;85;37;322;162
250169;Alguaire;173;976;276;169;890;323;342;1866;599
250175;Alins;7;86;43;15;69;52;22;155;95
430108;Alió;18;118;49;26;107;54;44;225;103
250194;Almacelles;337;1969;507;381;1752;618;718;3721;1125
250208;Almatret;25;146;82;14;119;98;39;265;180
250215;Almenar;231;1164;368;180;1086;412;411;2250;780
430115;Almoster;65;302;56;74;267;59;139;569;115
250220;Alòs de Balaguer;6;73;30;5;46;27;11;119;57
170062;Alp;87;469;64;85;416;73;172;885;137
080044;Alpens;24;86;30;16;77;31;40;163;61
250236;Alpicat;340;1421;244;344;1337;330;684;2758;574
250241;Alt Àneu;28;149;50;26;115;43;54;264;93
430120;Altafulla;262;1174;153;237;1091;194;499;2265;347
170078;Amer;129;729;234;129;714;285;258;1443;519
430136;Ametlla de Mar, l';291;1739;452;346;1640;478;637;3379;930
080057;Ametlla del Vallès, l';549;1994;280;484;1968;422;1033;3962;702
