Población a 1 de enero. Por sexo y edad en grandes grupos
Municipios. 2021
Fuente: Idescat, a partir del Padrón continuo del INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=1181&by=mun&lang=es
Código;Literal;Hombres. De 0 a 14 años;Hombres. De 15 a 64 años;Hombres. 65 años o más;Mujeres. De 0 a 14 años;Mujeres. De 15 a 64 años;Mujeres. 65 años o más;Total. De 0 a 14 años;Total. De 15 a 64 años;Total. 65 años o más
250019;Abella de la Conca;8;59;22;8;51;23;16;110;45
080018;Abrera;1100;4366;907;1038;4137;1072;2138;8503;1979
250024;Àger;26;206;90;23;163;80;49;369;170
250030;Agramunt;412;1860;491;422;1670;609;834;3530;1100
080023;Aguilar de Segarra;28;95;31;28;80;24;56;175;55
170010;Agullana;70;283;92;65;279;96;135;562;188
080142;Aiguafreda;157;851;231;170;823;324;327;1674;555
430017;Aiguamúrcia;58;323;114;74;285;106;132;608;220
170025;Aiguaviva;77;260;58;65;267;62;142;527;120
250387;Aitona;212;853;246;174;698;310;386;1551;556
250045;Alamús, els;52;257;81;48;250;85;100;507;166
250058;Alàs i Cerc;21;90;44;22;88;57;43;178;101
250061;Albagés, l';14;123;52;12;102;54;26;225;106
170031;Albanyà;22;51;17;21;52;15;43;103;32
250077;Albatàrrec;194;833;121;178;740;158;372;1573;279
250083;Albesa;119;563;165;87;427;200;206;990;365
250096;Albi, l';57;214;112;40;201;125;97;415;237
430022;Albinyana;194;879;221;161;774;275;355;1653;496
430038;Albiol, l';71;170;37;43;161;33;114;331;70
170046;Albons;47;271;89;57;254;80;104;525;169
430043;Alcanar;675;3214;973;640;2985;1092;1315;6199;2065
250100;Alcanó;18;72;28;14;68;33;32;140;61
250117;Alcarràs;922;3602;546;843;3126;639;1765;6728;1185
250122;Alcoletge;316;1306;221;312;1099;238;628;2405;459
430056;Alcover;422;1719;428;430;1676;510;852;3395;938
439044;Aldea, l';322;1464;433;271;1198;472;593;2662;905
430069;Aldover;57;291;116;40;266;141;97;557;257
