Establiments hotelers
Municipis. 2020
Font: Idescat, a partir de les dades del Departament d’Empresa i Treball.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=turall&n=6030&by=mun&lang=es
Codi;Literal;Hotels. D'1 estrella;Hotels. De 2 estrelles;Hotels. De 3 estrelles;Hotels. De 4 estrelles;Hotels. De 4 estrelles superior;Hotels. De 5 estrelles;Hotels. Gran luxe;Hotels. Total;Hostals i pensions;Total
250019;Abella de la Conca;0;0;0;0;0;0;0;0;0;0
080018;Abrera;1;0;0;0;0;0;0;1;0;1
250024;Àger;1;1;0;0;0;0;0;2;1;3
250030;Agramunt;1;1;0;0;0;0;0;2;0;2
080023;Aguilar de Segarra;0;0;0;0;0;0;0;0;0;0
170010;Agullana;0;0;0;0;0;0;0;0;0;0
080142;Aiguafreda;0;0;0;0;0;0;0;0;1;1
430017;Aiguamúrcia;1;1;0;0;0;0;0;2;0;2
170025;Aiguaviva;0;0;0;0;0;0;0;0;0;0
250387;Aitona;0;0;0;0;0;0;0;0;0;0
250045;Alamús, els;0;0;0;0;0;0;0;0;0;0
250058;Alàs i Cerc;0;0;1;0;0;0;0;1;0;1
250061;Albagés, l';0;0;0;0;0;0;0;0;0;0
170031;Albanyà;0;0;0;0;0;0;0;0;1;1
250077;Albatàrrec;0;0;0;0;0;0;0;0;0;0
250083;Albesa;0;0;0;0;0;0;0;0;0;0
250096;Albi, l';0;0;0;0;0;0;0;0;0;0
430022;Albinyana;0;0;1;0;0;0;0;1;0;1
430038;Albiol, l';0;0;0;0;0;0;0;0;0;0
170046;Albons;0;0;0;0;0;1;0;1;0;1
430043;Alcanar;0;0;1;0;0;0;0;1;3;4
250100;Alcanó;0;0;0;0;0;0;0;0;0;0
250117;Alcarràs;1;1;0;0;0;0;0;2;0;2
250122;Alcoletge;0;0;0;0;0;0;0;0;0;0
430056;Alcover;1;0;0;0;0;0;0;1;0;1
439044;Aldea, l';0;1;0;0;0;0;0;1;0;1
430069;Aldover;0;0;0;0;0;0;0;0;0;0
430075;Aleixar, l';0;0;0;0;0;0;0;0;0;0
080039;Alella;0;0;0;2;0;0;0;2;0;2
430081;Alfara de Carles;0;0;0;0;0;0;0;0;1;1
250138;Alfarràs;0;0;0;0;0;0;0;0;1;1
250143;Alfés;0;0;0;0;0;0;0;0;0;0
430094;Alforja;0;0;0;0;0;0;0;0;0;0
250156;Algerri;0;0;0;0;0;0;0;0;1;1
250169;Alguaire;1;0;0;0;0;0;0;1;0;1
250175;Alins;0;2;0;0;0;0;0;2;2;4
430108;Alió;0;0;0;0;0;0;0;0;0;0
250194;Almacelles;0;0;0;0;0;0;0;0;0;0
250208;Almatret;0;0;0;0;0;0;0;0;0;0
250215;Almenar;0;0;0;0;0;0;0;0;0;0
430115;Almoster;0;0;0;0;0;0;0;0;0;0
250220;Alòs de Balaguer;0;0;0;0;0;0;0;0;0;0
170062;Alp;1;1;7;2;0;0;0;11;0;11
080044;Alpens;0;0;0;0;0;0;0;0;1;1
250236;Alpicat;0;0;0;0;0;0;0;0;0;0
250241;Alt Àneu;0;1;2;0;0;0;0;3;0;3
430120;Altafulla;0;4;0;2;0;0;0;6;0;6
170078;Amer;0;0;0;0;0;0;0;0;2;2
430136;Ametlla de Mar, l';1;1;1;1;0;0;0;4;0;4
080057;Ametlla del Vallès, l';0;0;0;0;0;0;0;0;0;0
439060;Ampolla, l';0;2;1;1;0;0;0;4;0;4
430141;Amposta;0;3;2;2;0;0;0;7;1;8
170084;Anglès;0;0;0;0;0;0;0;0;2;2
250273;Anglesola;0;0;0;0;0;0;0;0;0;0
250292;Arbeca;0;0;0;0;0;0;0;0;1;1
430167;Arboç, l';0;1;0;0;0;0;0;1;0;1
430154;Arbolí;0;0;0;0;0;0;0;0;1;1
170097;Arbúcies;1;0;1;0;0;0;0;2;1;3
080060;Arenys de Mar;0;0;0;2;0;0;0;2;5;7
080076;Arenys de Munt;0;0;0;0;0;0;0;0;0;0
170101;Argelaguer;0;0;0;0;0;0;0;0;0;0
080082;Argençola;0;0;0;0;0;0;0;0;0;0
430173;Argentera, l';0;0;0;0;0;0;0;0;0;0
080095;Argentona;0;0;0;0;0;0;0;0;1;1
170118;Armentera, l';0;0;0;0;0;0;0;0;0;0
430189;Arnes;0;1;0;1;0;0;0;2;1;3
